,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
179,Tuvalu,TUV,9,3174.05,NaN,0.0109999999403954,NaN,1.34,NaN,16.5366382598877
157,Vietnam,VNM,7,4147.5698,0.67799997,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.066778182983398
9,Austria,AUT,5,38868.039,0.89200002,8.543999671936035,3.299999952316284,12.32,NaN,11.20547294616699
107,Malta,MLT,5,24094.641,0.85299999,0.425000011920929,5.800000190734863,8.4899998,25.9,9.749919891357422
162,Spain,ESP,5,31086.35,0.88200003,46.45500183105469,3.799999952316284,9.25,30.299999,9.02988624572754
56,Estonia,EST,1,19768.039,0.86299998,1.315999984741211,2.900000095367432,NaN,33.200001,6.379294395446777
55,Eritrea,ERI,4,1007.28,0.41800001,NaN,NaN,0.62,NaN,3.338293075561523
47,Benin,BEN,4,1413.05,0.48100001,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301
186,United States,USA,5,47769.699,0.91799998,318.7890014648438,6.0,8.8199997,18.1,17.14075469970703
117,Oman,OMN,3,26158.73,0.79500002,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358
30,Canada,CAN,5,36577.078,0.91900003,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
32,Central African Republic,CAF,4,690.03998,0.347,NaN,NaN,1.66,NaN,4.200222015380859
129,Marshall Islands,MHL,9,2833.97,NaN,0.0540000014007092,NaN,NaN,NaN,17.13572311401367
130,Palau,PLW,9,9392.5996,0.78299999,0.0179999992251396,NaN,NaN,NaN,9.021533012390137
176,Tunisia,TUN,3,6912.2798,0.72299999,NaN,13.80000019073486,1.39,NaN,7.003858089447022
110,Mexico,MEX,2,13609.42,0.75800002,119.7129974365234,13.89999961853027,5.2600002,14.5,6.296421051025391
51,Ecuador,ECU,2,7259.52,0.73900002,15.77499961853027,19.10000038146973,3.8199999,9.0,9.161087989807127
52,El Salvador,SLV,2,332.26999,0.67799997,NaN,13.60000038146973,2.52,NaN,6.772402763366699
63,Gambia,GMB,4,1601.88,0.44999999,NaN,49.20000076293945,3.4100001,NaN,7.340400695800781
105,Maldives,MDV,8,13349.76,0.70099998,0.335999995470047,NaN,1.92,NaN,13.7335205078125
28,Cambodia,KHM,7,1927.0601,0.55800003,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697
6,Azerbaijan,AZE,1,9793.3096,0.75800002,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367
65,Ghana,GHA,4,2584.6001,0.57499999,NaN,48.59999847412109,1.64,6.3000002,3.557291984558106
7,Argentina,ARG,2,15102.61,0.82599998,41.73300170898438,12.69999980926514,7.9299998,25.299999,4.785916328430176
114,Montenegro,MNE,1,14538.52,0.80400002,0.621999979019165,5.5,6.5599999,NaN,6.416542530059815
160,South Africa,ZAF,4,8820.0596,0.66500002,54.14699935913086,33.29999923706055,7.3800001,18.9,8.796984672546387
93,Laos,LAO,7,2926.77,0.58200002,6.89799976348877,54.0,5.3899999,34.0,1.865545511245728
193,Zambia,ZMB,4,1916.79,0.57599998,NaN,56.40000152587891,2.4100001,15.9,4.986764907836914
169,Syria,SYR,3,4284.4199,0.55299997,NaN,14.19999980926514,0.75999999,NaN,3.254531145095825
